customer_id,customer_city,customer_state,customer_zip_code
CUST_000000,Fortaleza,AL,88681
CUST_000001,Curitiba,MG,27986
CUST_000002,Brasilia,AM,94624
CUST_000003,Porto Alegre,SC,80600
CUST_000004,Fortaleza,MA,64888
CUST_000005,Recife,PE,97732
CUST_000006,Belo Horizonte,PE,21603
CUST_000007,Fortaleza,CE,78024
CUST_000008,Brasilia,MT,38897
CUST_000009,Porto Alegre,ES,28802
CUST_000010,Curitiba,PR,26411
CUST_000011,Brasilia,MG,70399
CUST_000012,Brasilia,GO,70692
CUST_000013,Belo Horizonte,SE,67676
CUST_000014,Salvador,CE,22770
CUST_000015,Porto Alegre,MT,83513
CUST_000016,Rio de Janeiro,MG,47429
CUST_000017,Brasilia,GO,69429
CUST_000018,Salvador,PE,80085
CUST_000019,Rio de Janeiro,PA,30337
CUST_000020,Porto Alegre,AM,96181
CUST_000021,Sao Paulo,RJ,34507
CUST_000022,Recife,RN,69596
CUST_000023,Salvador,PE,80509
CUST_000024,Manaus,RJ,18436
CUST_000025,Sao Paulo,RJ,20086
CUST_000026,Recife,MG,93276
CUST_000027,Belo Horizonte,PB,29851
CUST_000028,Fortaleza,AL,49732
CUST_000029,Curitiba,RS,24842
CUST_000030,Manaus,RN,11745
CUST_000031,Belo Horizonte,SE,22697
CUST_000032,Porto Alegre,RN,13879
CUST_000033,Belo Horizonte,CE,95697
CUST_000034,Fortaleza,AM,28499
CUST_000035,Porto Alegre,MA,98177
CUST_000036,Manaus,SE,45035
CUST_000037,Fortaleza,PB,28651
CUST_000038,Rio de Janeiro,SE,85224
CUST_000039,Curitiba,MT,86524
CUST_000040,Manaus,RJ,99006
CUST_000041,Rio de Janeiro,RJ,47249
CUST_000042,Recife,MS,33849
CUST_000043,Manaus,RS,83309
CUST_000044,Recife,MA,39076
CUST_000045,Porto Alegre,MT,80123
CUST_000046,Rio de Janeiro,RS,43124
CUST_000047,Curitiba,MG,25787
CUST_000048,Fortaleza,PA,63462
CUST_000049,Brasilia,GO,95984
CUST_000050,Belo Horizonte,RJ,81035
CUST_000051,Sao Paulo,BA,13841
CUST_000052,Curitiba,CE,54890
CUST_000053,Rio de Janeiro,PA,35402
CUST_000054,Brasilia,CE,98591
CUST_000055,Curitiba,CE,76201
CUST_000056,Rio de Janeiro,MG,33237
CUST_000057,Salvador,SE,52988
CUST_000058,Salvador,CE,86310
CUST_000059,Recife,PE,10553
CUST_000060,Curitiba,SE,23860
CUST_000061,Salvador,AL,17045
CUST_000062,Rio de Janeiro,MS,84916
CUST_000063,Recife,RJ,66435
CUST_000064,Rio de Janeiro,PR,42261
CUST_000065,Recife,SE,88879
CUST_000066,Curitiba,GO,12853
CUST_000067,Brasilia,SC,85664
CUST_000068,Fortaleza,BA,58022
CUST_000069,Manaus,AM,12736
CUST_000070,Brasilia,PA,43724
CUST_000071,Porto Alegre,RN,21440
CUST_000072,Rio de Janeiro,AL,80716
CUST_000073,Porto Alegre,CE,40284
CUST_000074,Brasilia,MS,21646
CUST_000075,Recife,MG,94565
CUST_000076,Manaus,RN,95694
CUST_000077,Manaus,ES,24342
CUST_000078,Sao Paulo,BA,75620
CUST_000079,Manaus,CE,74261
CUST_000080,Fortaleza,PA,11935
CUST_000081,Manaus,SC,52376
CUST_000082,Brasilia,MA,84798
CUST_000083,Sao Paulo,SP,87140
CUST_000084,Brasilia,RN,52481
CUST_000085,Brasilia,ES,98669
CUST_000086,Belo Horizonte,AL,65721
CUST_000087,Sao Paulo,SP,12838
CUST_000088,Brasilia,PR,45330
CUST_000089,Belo Horizonte,ES,88976
CUST_000090,Belo Horizonte,MG,46994
CUST_000091,Sao Paulo,SP,40384
CUST_000092,Porto Alegre,GO,55378
CUST_000093,Recife,PA,42643
CUST_000094,Fortaleza,AL,26926
CUST_000095,Recife,PA,48977
CUST_000096,Manaus,MT,33652
CUST_000097,Fortaleza,SP,73295
CUST_000098,Manaus,AL,20270
CUST_000099,Brasilia,BA,92804
CUST_000100,Rio de Janeiro,GO,71630
CUST_000101,Sao Paulo,RS,46417
CUST_000102,Fortaleza,PR,56894
CUST_000103,Fortaleza,SC,66042
